ID,Gender,Year Group,How would you describe your personality?,What time do you typically go to bed on weeknights?,Where do you prefer to do homework/study?,What do you enjoy doing for fun?,Do you enjoy having friends over in your room?,How would your friends describe you in one word?,cluster
112,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,2
113,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Fun,15
114,Male,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Chill,7
115,Male,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
116,Male,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,2
121,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Friendly,12
127,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,0
131,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,13
133,Male,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized,5
134,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,3
135,Male,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,6
140,Male,Class of 2024,I am introverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Not really, but I don't mind",Chill,7
142,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Going for events on/off-campus,"Yup, all the time",Organized,8
143,Male,Class of 2025,I am extroverted,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Friendly,3
144,Male,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Friendly,3
145,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Responsible,13
146,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,13
147,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,13
148,Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",Friendly,12
149,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Friendly,3
150,Male,Class of 2027,I am extroverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Not really, but I don't mind",Friendly,10
151,Male,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Organized,1
152,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,3
153,Male,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,14
154,Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Responsible,3
155,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,13
156,Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,5
157,Male,Class of 2025,I am introverted,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Chill,6
163,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,12
169,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Responsible,15
172,Male,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Hanging out with friends,"Not really, but I don't mind",Chill,10
175,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,2
185,Male,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
186,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun,12
187,Male,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,14
190,Male,Class of 2027,I am extroverted,10PM or earlier,In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,4
191,Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,13
192,Male,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,1
194,Male,Class of 2027,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
196,Male,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Responsible,13
197,Male,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, all the time",Friendly,15
201,Male,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,4
204,Male,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,14
209,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,3
210,Male,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),In the room,Going for events on/off-campus,Nope!,Chill,2
211,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,3
212,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,2
221,Male,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Responsible,10
223,Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,9
228,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Chill,3
233,Male,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Chill,2
234,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Fun,5
235,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,0
236,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,0
238,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Responsible,3
240,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,12
241,Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,9
242,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Fun,0
243,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Chill,0
244,Male,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Responsible,5
245,Male,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Hanging out with friends,"Not really, but I don't mind",Fun,10
248,Male,Class of 2027,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Friendly,14
251,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Fun,3
252,Male,Class of 2027,I am introverted,After Midnight (12AM),In the room,Going for events on/off-campus,"Yup, but not always",Chill,0
257,Male,Class of 2025,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,6
260,Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,9
261,Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,2
262,Male,Class of 2027,I am introverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Chill,7
263,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,0
266,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Going for events on/off-campus,"Yup, but not always",Chill,0
267,Male,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,9
268,Male,Class of 2026,I am extroverted,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Organized,1
271,Male,Class of 2025,I am extroverted,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, all the time",Friendly,3
